field,operator,seeds_agreeing,n_seeds,stability,r2_mean
I2,linear,3,3,1.0,0.9601126960136482
I3,linear,2,3,0.6666666666666666,0.9974801775822391
I4,linear,3,3,1.0,0.9597188622864369
I5,linear,3,3,1.0,0.9935997262605101
I6,linear,3,3,1.0,0.9824864040272917
I7,linear,2,3,0.6666666666666666,0.9966608973061639
I8,linear,3,3,1.0,0.9979155427118318
I9,linear,3,3,1.0,0.9886431512895326
I11,linear,3,3,1.0,0.9841027936045444
I12,linear,2,3,0.6666666666666666,0.9979168561805886
I13,linear,3,3,1.0,0.9979648158323497
