field,violation_rate,violation_std,direction
I1,0.00020903010033444816,0.0008095700974513831,creciente
I2,0.027382943143812708,0.10605368276613118,creciente
I3,0.008779264214046822,0.03400194409295809,decreciente
I4,0.029473244147157192,0.11414938374064502,decreciente
I5,0.015468227424749162,0.049647179129321456,decreciente
I6,0.04535953177257525,0.02397111403346752,decreciente
I7,0.034489966555183944,0.020742485634149124,creciente
I8,0.028846153846153848,0.013266414425269591,creciente
I9,0.061036789297658864,0.05454043564314526,creciente
I10,0.010451505016722406,0.03201096538532371,creciente
I11,0.051839464882943144,0.024519863375610667,decreciente
I12,0.01943979933110368,0.011598816387127996,decreciente
I13,0.03595317725752509,0.00779881191729834,decreciente
